Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe
Público Universitário,0300,Universidade de Aveiro,9041,Ciências do Mar,Ciências do Mar,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9041&code=0300
Público Universitário,0300,Universidade de Aveiro,9069,Design,Design,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9069&code=0300
Público Universitário,0300,Universidade de Aveiro,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=0300
Público Universitário,0300,Universidade de Aveiro,9853,Educação Básica,Educação Básica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9853&code=0300
Público Universitário,0300,Universidade de Aveiro,L221,Engenharia Aeroespacial,Engenharia Aeroespacial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L221&code=0300
Público Universitário,0300,Universidade de Aveiro,9099,Engenharia do Ambiente,Engenharia do Ambiente,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9099&code=0300
Público Universitário,0300,Universidade de Aveiro,L202,Engenharia de Automação Industrial,Engenharia de Automação Industrial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L202&code=0300
Público Universitário,0300,Universidade de Aveiro,9455,Engenharia Biomédica,Engenharia Biomédica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9455&code=0300
Público Universitário,0300,Universidade de Aveiro,9089,Engenharia Civil,Engenharia Civil,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9089&code=0300
Público Universitário,0300,Universidade de Aveiro,L223,Engenharia Computacional,Engenharia Computacional,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L223&code=0300
Público Universitário,0300,Universidade de Aveiro,L217,Engenharia de Computadores e Informática,Engenharia de Computadores e Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L217&code=0300
Público Universitário,0300,Universidade de Aveiro,L209,Engenharia Eletrotécnica e de Computadores,Engenharia Eletrotécnica e de Computadores,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L209&code=0300
Público Universitário,0300,Universidade de Aveiro,9113,Engenharia Física,Engenharia Física,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9113&code=0300
Público Universitário,0300,Universidade de Aveiro,9104,Engenharia e Gestão Industrial,Engenharia e Gestão Industrial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9104&code=0300
Público Universitário,0300,Universidade de Aveiro,9119,Engenharia Informática,Engenharia Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9119&code=0300
Público Universitário,0300,Universidade de Aveiro,9096,Engenharia de Materiais,Engenharia de Materiais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9096&code=0300
Público Universitário,0300,Universidade de Aveiro,9123,Engenharia Mecânica,Engenharia Mecânica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9123&code=0300
Público Universitário,0300,Universidade de Aveiro,9125,Engenharia Química,Engenharia Química,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9125&code=0300
Público Universitário,0300,Universidade de Aveiro,9141,Física,Física,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9141&code=0300
Público Universitário,0300,Universidade de Aveiro,9146,Geologia,Geologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9146&code=0300
Público Universitário,0300,Universidade de Aveiro,9147,Gestão,Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9147&code=0300
Público Universitário,0300,Universidade de Aveiro,L187,Gestão e Planeamento em Turismo,Gestão e Planeamento em Turismo,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L187&code=0300
Público Universitário,0300,Universidade de Aveiro,9194,Línguas e Estudos Editoriais,Línguas e Estudos Editoriais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9194&code=0300
