Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe,Provas_ingresso,Ano_nota,Nota_1fase,Nota_2fase
Público Universitário,300,Universidade de Aveiro,9015,Bioquímica,Bioquímica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9015&code=0300,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática']}",2023,"151,8","137,0"
Público Universitário,300,Universidade de Aveiro,9016,Biotecnologia,Biotecnologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9016&code=0300,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática']}",2023,"162,8","160,0"
Público Universitário,300,Universidade de Aveiro,9351,Ciências Biomédicas,Ciências Biomédicas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9351&code=0300,"{'Um dos seguintes conjuntos': [['Biologia e Geologia', 'Física e Química'], ['Biologia e Geologia', 'Matemática']]}",2023,"172,5","172,8"
Público Universitário,300,Universidade de Aveiro,9041,Ciências do Mar,Ciências do Mar,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9041&code=0300,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática']}",2023,"130,0","125,0"
Público Universitário,300,Universidade de Aveiro,9069,Design,Design,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9069&code=0300,"{'Uma das seguintes provas': ['Desenho', 'Geometria Descritiva']}",2023,"161,8","164,6"
Público Universitário,300,Universidade de Aveiro,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=0300,"{'Um dos seguintes conjuntos': [['Matemática A'], ['Economia', 'Matemática A'], ['Geografia', 'Matemática A']]}",2023,"162,8","160,2"
Público Universitário,300,Universidade de Aveiro,9853,Educação Básica,Educação Básica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9853&code=0300,"{'As seguintes provas': ['Mat. Apl. Ciências Soc.', 'Português']}",2023,"147,0","153,3"
Público Universitário,300,Universidade de Aveiro,L221,Engenharia Aeroespacial,Engenharia Aeroespacial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L221&code=0300,"{'As seguintes provas': ['Física e Química', 'Matemática A']}",2023,"185,2","188,4"
Público Universitário,300,Universidade de Aveiro,9099,Engenharia do Ambiente,Engenharia do Ambiente,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9099&code=0300,"{'Um dos seguintes conjuntos': [['Biologia e Geologia', 'Matemática A'], ['Física e Química', 'Matemática A']]}",2023,"129,8","132,4"
Público Universitário,300,Universidade de Aveiro,L202,Engenharia de Automação Industrial,Engenharia de Automação Industrial,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L202&code=0300,"{'As seguintes provas': ['Física e Química', 'Matemática A']}",2023,"115,3","127,8"
Público Universitário,300,Universidade de Aveiro,9455,Engenharia Biomédica,Engenharia Biomédica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9455&code=0300,"{'As seguintes provas': ['Física e Química', 'Matemática A']}",2023,"161,8","166,5"
